keyword;keyword_type;syntax_highlight_type
COLUMN;Attribute;Keyword
COLUMN;Option;Keyword
COLUMNS;Option;Keyword
COM-HANDLE;Attribute;Keyword
COM-HANDLE;Type;Type
COM-SELF;Handle;Keyword
COM;Attribute;Keyword
COMBO-BOX;Widget;Keyword
COMMAND;Option;Keyword
COMPARE;Function;Keyword
COMPARES;Option;Keyword
COMPILE;Statement;Statement
COMPILER;Handle;Keyword
Complement;Method;Keyword
COMPLETE;Attribute;Keyword
Complete;Method;Keyword
COMPLETE;Option;Keyword
COMPONENT-HANDLE;Type;Type
CONDITIONAL;Option;Keyword
CONFIG-NAME;Attribute;Keyword
CONNECT;Event;Keyword
CONNECT;Method;Keyword
CONNECT;Option;Keyword
CONNECT;Statement;Statement
CONNECTED;Function;Keyword
CONNECTED;Method;Keyword
Connected;Property;Keyword
CONSTRUCTOR;Option;Keyword
CONSTRUCTOR;Statement;Statement
CONTAINS;Option;Keyword
CONTENTS;Option;Keyword
CONTEXT-HELP-FILE;Attribute;Keyword
CONTEXT-HELP-FILE;Option;Keyword
CONTEXT-HELP-ID;Attribute;Keyword
CONTEXT-HELP-ID;Option;Keyword
CONTEXT-HELP;Attribute;Keyword
CONTEXT-HELP;Option;Keyword
CONTEXT-POPUP;Option;Keyword
CONTEXT;Option;Keyword
CONTROL-BOX;Attribute;Keyword
CONTROL-FRAME;Widget;Keyword
CONTROL;Option;Keyword
Control;Property;Keyword
Controls;Property;Keyword
CONVERT-;Option;Keyword
CONVERT-3D-COLORS;Attribute;Keyword
CONVERT-3D-COLORS;Option;Keyword
CONVERT-TO-OFFS;Method;Keyword
CONVERT-TO-OFFSET;Method;Keyword
CONVERT;Option;Keyword
COPY-DATASET;Method;Keyword
COPY-LOB;Statement;Statement
COPY-SAX-ATTRIBUTES;Method;Keyword
COPY-TEMP-TABLE;Method;Keyword
COUNT-OF;Function;Keyword
COUNT;Option;Keyword
Count;Property;Keyword
COVERAGE;Attribute;Keyword
CPCASE;Attribute;Keyword
CPCOLL;Attribute;Keyword
CPINTERNAL;Attribute;Keyword
CPLOG;Attribute;Keyword
CPPRINT;Attribute;Keyword
CPRCODEIN;Attribute;Keyword
CPRCODEOUT;Attribute;Keyword
CPSTREAM;Attribute;Keyword
CPTERM;Attribute;Keyword
CRC-VALUE;Attribute;Keyword
CREATE-BUFFER;Statement;Statement
CREATE-LIKE-SEQUENTIAL;Method;Keyword
CREATE-LIKE;Method;Keyword
CREATE-NODE-NAMESPACE;Method;Keyword
CREATE-NODE;Method;Keyword
CREATE-RESULT-LIST-ENTRY;Method;Keyword
CREATE-TEST-FILE;Option;Keyword
Create;Method;Keyword
CREATE;Statement;Statement
Created;Property;Keyword
CreateRow;Event;Keyword
Creator;Property;Keyword
CURRENT_DATE;Option;Keyword
CURRENT-CHANGED;Attribute;Keyword
CURRENT-CHANGED;Function;Keyword
CURRENT-COLUMN;Attribute;Keyword
CURRENT-ENV;Attribute;Keyword
CURRENT-ENVIRONMENT;Attribute;Keyword
CURRENT-ITERATION;Attribute;Keyword
CURRENT-LANG;Function;Keyword
CURRENT-LANG;Statement;Statement
CURRENT-LANGUAGE;Function;Keyword
CURRENT-LANGUAGE;Statement;Statement
CURRENT-QUERY;Method;Keyword
CURRENT-REQUEST-INFO;Attribute;Keyword
CURRENT-RESPONSE-INFO;Attribute;Keyword
CURRENT-RESULT-ROW;Attribute;Keyword
CURRENT-RESULT-ROW;Function;Keyword
CURRENT-ROW-MODIFIED;Attribute;Keyword
CURRENT-VALUE;Function;Keyword
CURRENT-VALUE;Statement;Statement
CURRENT-WINDOW;Attribute;Keyword
CURRENT-WINDOW;Handle;Keyword
CURRENT;Option;Keyword
CURS;Statement;Statement
CURSOR-CHAR;Attribute;Keyword
CURSOR-DOWN;Event;Keyword
CURSOR-LEFT;Event;Keyword
CURSOR-LINE;Attribute;Keyword
CURSOR-OFFSET;Attribute;Keyword
CURSOR-RIGHT;Event;Keyword
CURSOR-UP;Event;Keyword
CURSOR;Statement;Statement
Custom;Property;Keyword
DATA-BIND;Option;Keyword
DATA-ENTRY-RET;Attribute;Keyword
DATA-ENTRY-RETURN;Attribute;Keyword
DATA-REL;Option;Keyword
DATA-RELATION;Option;Keyword
DATA-SOURCE-COMPLETE-MAP;Attribute;Keyword
DATA-SOURCE-MODIFIED;Attribute;Keyword
DATA-SOURCE-MODIFIED;Function;Keyword
DATA-SOURCE-ROWID;Attribute;Keyword
DATA-SOURCE;Attribute;Keyword
DATA-SOURCE;Option;Keyword
DATA-SOURCE;Statement;Statement
DATA-T;Attribute;Keyword
DATA-TYPE;Attribute;Keyword
DATABASE;Option;Keyword
DATABASE;Statement;Statement
DATASERVERS;Function;Keyword
DATASET-HANDLE;Option;Keyword
DATASET-HANDLE;Type;Type
